id,name,alt_name,country_id,is_active,created_at,updated_at,lat,long
73,Abbigeri,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,13.0767,77.525
74,Abbigeri,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.5862,75.7502
81,Abdullahnagar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.7683,87.5557
105,Abhayapuri,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.3225,90.6853
106,Abhia,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.3499,87.1427
107,Abhwar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.174,86.6324
117,Abiramam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,9.4423,78.4399
120,Ablu,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,30.3391,74.7879
122,Abohar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,30.1334,74.2001
146,Abu,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.5925,72.7083
208,Achaljamu,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.0243,85.8306
209,Achampet,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.6299,80.1213
210,Achankovil,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,8.9667,77.1431
211,Acharipallam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,8.17,77.3698
213,Achchampeta,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.0941,82.3099
214,Achchippatti,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.6989,77.015
217,Achhnera,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,27.18,77.77
274,Adalaj,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,23.17,72.58
276,Adalhat,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.282,82.9563
277,Adalpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.191,86.0239
278,Adamankottai,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.0742,78.1237
281,Adampur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,31.4322,75.7148
287,Addanki,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.8167,79.9833
304,Adesar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,23.5589,70.9833
309,Adigappadi,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.1459,78.0946
310,Adigaratti,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,11.3357,76.6971
311,Adigoppula,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.4402,79.6235
313,Adilabad,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,19.6667,78.5333
317,Adivala,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,13.9131,76.6619
318,Adiyakkamangalam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.7626,79.6775
334,Adoni,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.6279,77.2749
336,Adra,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,23.5,86.67
344,Adukam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,9.7954,76.8456
346,Aduru,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.5583,75.1357
348,Advi Devalpalli,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.6631,79.5139
376,Afzala,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.9319,86.2293
377,Afzalpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.2011,76.3611
378,Agadallanka,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.7123,81.2732
380,Agadi,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,14.819,75.469
388,Agar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,23.7118,76.0157
389,Agaram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.4433,77.9485
